,file,tiny,base,small,medium,large,original_text
0,test_audio/hi/clips/common_voice_hi_26010535.mp3,"Vahem, Acharyaaja.",بہیں اچھا راجتا,बहें अच्छा राजा दाद.,वह अच्छा राजा था।,वह अच्छा राजा था,वह अच्छा राजा था।
0,test_audio/hi/clips/common_voice_hi_26010537.mp3,"Gretan Oudha mein Padmaa shone n'e n'ir ko, oski hi kar mein kiya agu ba.",گریٹنوڑا میں پدماؤشوں نے انیر کو اس کی ہی کار میں کیا آگوہ,गरेटानोइडा में बद्माशों ले एंजीनर को उसकी ही कार में की अगवा,ग्रेटा नौड़ा में पद्माशों ने अंजीनियर को उसकी ही कार में किया अग्वा.,ग्रेटा नोईडा में पद्माशों ने एंजिनियर को उसकी ही कार में किया अग्वा,ग्रेटर नोएडा में बदमाशों ने इंजीनियर को उसकी ही कार में किया अगवा
0,test_audio/hi/clips/common_voice_hi_26010554.mp3,"Sunset kaashit Kalin Sunset Peşeroom. Biyam Odinayem, Bebapse Mahanah Sahyok.",سنسط کاشید کالین سطشروب پیم مودي نے بیپک سے مانا سحیوک,संसद काशीट कालीं सब ते शुग पीम मोदीने बिपक्षे मागा सहेवक,संसत काशीत कालीन सर्त शरूब पीयम मोदी ने बिबक्ष से मांगा सहीख,संसथ काशित कालीन सत्त शुरूब प्यैम मोदी ने विपक्ष से मागा सहिओक,"संसद का शीतकालीन सत्र शुरू, पीएम मोदी ने विपक्ष से मांगा सहयोग"
0,test_audio/hi/clips/common_voice_hi_26010555.mp3,Gujira Kangaleski Sarthar Sanmeesh Yatra Sampanna,گجرد کنگریس کی سردار سندیشیترا سمپنن,गुज्रात कंगरेश की सरदार संदेश याप्रा समपन,गुज्रात कांग्रेस की सर्दार संदेश यात्रा संपन्न,गुज्रात कांग्रेस की सरदार संदेश यात्रा संपन्न,गुजरात कांग्रेस की सरदार संदेश यात्रा संपन्न
0,test_audio/hi/clips/common_voice_hi_26010556.mp3,"Makarsan Kranti Per MNS Ne, Ublee Nefra Kiyag",مقرساً قرآن تیپر م&س نے اوگلی نفرق کیاک,मक्र संक्रान्ती पर म्हांई आस्ने उगले नफ्रप कियाग,मक्र संक्रान्ती पर MNS ने उगली नफ्रप की आग।,मकर संक्रान्ती पर MNS ने उगली नफ्रक कियाग,मकर संक्राति पर एमएनएस ने उगली नफरत की आग
0,test_audio/hi/clips/common_voice_hi_26010557.mp3,Uniform staple code say jury-hachcom person by number taktari,"UNIFORMSEBILCODE سے, Judi Yajkao Person Bainamwar Thaktaali.",यूनिफाम सेपिल कोड से जुडि याजका वापर सुन्वाई नम्मर तक्तली,यूनिफाम सिबिल कोट से जुडि याचकाव पर सुनभाई नम्मबर तक टली,ेनिФौम । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । । ।,यूनिफॉर्म सिविल कोड से जुड़ी याचिकाओं पर सुनवाई नवंबर तक टली
0,test_audio/hi/clips/common_voice_hi_26010559.mp3,Kabhi Singh is an actor in the way of actor.,"Kabir Singh May, this actor will be the biggest actor in Shahit.",कबीज्सिंग में यह अक्टर निवायगा शाहित के बड़े बहीगरोल,कभीर सिंग में यह एक्टर निवायेगा शाहित के बड़े भाई का रोल.,कबीर सिंग में यह एक्टर निवायेगा शाहित के बड़े भाई का रोल,कबीर सिंह में ये एक्टर निभाएगा शाहिद के बड़े भाई का रोल
0,test_audio/hi/clips/common_voice_hi_26010589.mp3,"Donyak isapsi varethur bin, kendi deep samu paraya.","Dünya ki Sabse Wadi Turbin, Candid Deep Samu Parayi",तुन्या की सबसे वड़िटूर्वीन कैंडि दीप समूपर है,दुनिया की सबसे बड़ी तुरवीन कैन्री दीप समू पर है।,दुनिया की सबसे बड़ी तुर्भीन कैंडी दीप समूपर है।,दुनिया की सबसे बड़ी दुरबीन कैनरी द्वीप समूह पर है।
0,test_audio/hi/clips/common_voice_hi_26010592.mp3,"Palari Pradesh, Srinth Karad",پہاری پر دیجمیں سیھر دکاراڈ,पहारी प्रदेश में सेहत काराज,पाहाडी प्रदेश में सेहत का राज।,पहाडी प्रदेश में सेहत का राज,पहाड़ी प्रदेश में सेहत का राज
0,test_audio/hi/clips/common_voice_hi_26010594.mp3,BAKBAS,باکباس,बखवास,बाक वास।,बगवास,बकवास।
0,test_audio/hi/clips/common_voice_hi_26010611.mp3,"Now, I will show you this photo. I have written my name.","whenever i see this picture, i remember my father.",जब भी में यह फोटो दिखती हूं मुझे मेरे पिता की यादा दी है,"जब भी मैं यह फोटो देखती हूं, मुझे मेरे पिता की याद आदी है।","जब भी मैं यह फोटो देखती हूं, मुझे मेरे पिता की याद आती है।","जब भी में यह फोटो देखती हूँ, मुझे मेरे पिता की याद आती है।"
0,test_audio/hi/clips/common_voice_hi_26010612.mp3,Karar Wahi's girlfriend insta upar kia up his restte ka kula sa.,"Karan Wahi ki Galafrenne insta par kia, aapne riste ka khula sa.",करनवाही की गल्फ्रेड ने इंस्टापर किया अपने रिस्ते का खोलासा,करनवाही की गल्फ्रेड ने इंस्टा पर किया अपने रिस्ते का खोलासा.,करन्वाही की गल्फ्रेंड ने इंस्टा पर किया अपने रिष्ते का खुलासा,करण वाही की गर्लफ्रेंड ने इंस्टा पर किया अपने रिश्ते का खुलासा
0,test_audio/hi/clips/common_voice_hi_26010615.mp3,"Akhirkar, we are going to say goodbye.","آخرکار, ہمیں سلچائی کا پتہ چل گیا.",आखिर कार हमें सच्चाई का पता चल गया,आकिरकार हमें सच्चाई का पता चल गया.,आकिरकार हमें सच्छाई का पता चल गया।,आखिरकार हमे सच्चाई का पता चल गया।
0,test_audio/hi/clips/common_voice_hi_26010617.mp3,My past is a Banu Kheet.,میری پاس ایک بنڈوک ہے,मेरे पास एक बन्दूख है,मेरे पास एक बंदूक हैं,मेरे पास एक बंदूक है।,मेरे पास एक बंदूक है।
0,test_audio/hi/clips/common_voice_hi_26010620.mp3,"Nalgo adhich kraftar, Lockar Mimali, Soneki Intae",4. ھڑڑڑڑڑڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھڑ ھ�,नाल को अद्ध्छ क्रफ्तार लाकर में मिली सोने की इंटें,नाल को अधिक्च ग्रवतार लाकर में मिली सोने की इंटें,नालको अध्यक्च क्रफ्तार लाकर में मिली सोने की इंटे,"नाल्को अध्यक्ष गिरफ्तार, लॉकर में मिली सोने की ईंटें"
0,test_audio/hi/clips/common_voice_hi_26010630.mp3,"MaxSae is a body, Sandeep Pandekar is a rope. Police has done it.",میکسے سے اوڑی سندی پندے کا آرو پلس نے کیا نجربند,मैक्से से अवाडी सन्दी पान्दे का आरोप पूलिस ने किया नजर बन्द,मैक्से से अवौडी संदीप पांडे का आरोप पॉलिस ने किया नजर बंद,"मेक्से से अवटी संदीप पांडे का आरोप, पुलिस ने किया नजर बंद","मैग्सेसे अवॉर्डी संदीप पांडे का आरोप, पुलिस ने किया नजरबंद"
0,test_audio/hi/clips/common_voice_hi_26010631.mp3,"Me, Chai Bhipi Thi Home",میں چائب ہی پیٹی ہوں,मैं चाई भी पीती हूं,मैं चाइ भी पीती हूं,मैं चाय भी पीती हूं।,मैं चाय भी पीती हूँ।
0,test_audio/hi/clips/common_voice_hi_26010633.mp3,Alpsan kekong ko chala vaya. So kya  Essayoga chalme chade.,عالم سنکے کون کو چلا گیا. تو کیا ایسے ہوگا چل میں چھےڑ.,"अल्प संक्यकों को चला गया, तो क्या एसे होगा चल में चेद?","अल्प संक्यकों को चला गया, तो क्या ऐसे होगा चल में चेद?","अलव संख्यकों को छला गया, तो क्या ऐसे होगा छल में छेद?",'...अल्पसंख्यकों को छला गया'...तो क्या ऐसे होगा छल में छेद!
0,test_audio/hi/clips/common_voice_hi_26010634.mp3,"kaya, you are my brother, masala is in the middle.",کیا آپ میری بھائی مصاو سے ملے ہیں,तो बगाँ बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बाई बा,क्या आप मेरे भाई मासां से मिले हैं?,क्या आप मेरे भाई मासाओं से मिले हैं?,क्या आप मेरे भाई मासाओ से मिले हैं?
0,test_audio/hi/clips/common_voice_hi_26010635.mp3,Tamil Nadu mein bachokitaskari kirekit ka khula sa,تمیلادوں میں بچو ہی تسکری کے ریکٹ کا خلاسہ,तमिलाडू में बच्छों की तस्करी के रेकेट का खुलासा,तमिल नाडू में बच्चों की तसकरी के रैकेट का खुला सा.,तमिलनाडू में बच्चों की तसकरी के रैकेट का खुलासा,तमिलनाडु में बच्चों की तस्करी के रैकेट का खुलासा
0,test_audio/hi/clips/common_voice_hi_26010649.mp3,"So, you have got a call.",تمே کل آنہ چاہیے تھا,तुमे कल आना चाही आथा,तुमें कल आना चाहिए था,तुमें कल आना चाहिए था।,तुम्हे कल आना चाहिए था।
0,test_audio/hi/clips/common_voice_hi_26010650.mp3,Sao Delhi is 9 techniques. Ootaya Jaya Koda,Sao Delhi<|hi|><|translate|> Sao Delhi Sao Delhi Sao Delhi Sao Delhi Sao Delhi Sao Delhi Sao Delhi Sao Delhi,शावद दिल्ली में इस नहीं तक्नीक से उठाया जाएगा कोडा,साउदिल्ली में इस नहीं तकनीक से उठाया जायेगा कोडा,साव्द दिल्ली में इस नई तक्नीक से उठाया जाएगा कोडा,साउथ दिल्ली में इस नई तकनीक से उठाया जाएगा कूड़ा
0,test_audio/hi/clips/common_voice_hi_26010651.mp3,"So, countave over capka, this serial rapist.",تو کامdev ہے OverCap کا یہ سیریل ریپست.,तो कामदेव है उबर कैप का ये सीरियर रेपिस्ट,तो कामदेव है उबर कैप का ये सीरियल रेपिस्ट।,तो कामदेव है उबर कैप का ये सीरियर रेपिस्ट,...तो कामदेव है उबर कैब का ये सीरियल रेपिस्ट
0,test_audio/hi/clips/common_voice_hi_26010653.mp3,Sural mede uparne.,سوراگ میرے او پر ہے,शुरग मेरे उपर हैं,सुरज मेरे उपर हैं,सुरज मेरे उपर है।,सूरज मेरे ऊपर है।
0,test_audio/hi/clips/common_voice_hi_26010654.mp3,"Kathwarayab, High Court Pacha, Pudit Parivar, Fasi Dene Ki Mangothai","قد ہو رہیم, حائقوٹ پہچا, پیڈت پریبار, فاصی دینے کی مانگوٹھائی.","कद्हुड़ेव, हाईकोट पहचा पीडद परवार फासी देने की माग अग अग़ाई",कठुवा रेप। हाईकोट पहुजा पीरित परिवार फासी देने की मांग उठाई।,"कटूआ रेप, हाई कोट पहुँचा पीड़ परिवार फासी देने की मांग उठाई","कठुआ रेप: हाईकोर्ट पहुंचा पीड़ित परिवार, फांसी देने की मांग उठाई"
0,test_audio/hi/clips/common_voice_hi_26010677.mp3,"Shivahar Lok Sabha Seet, Arjiti's Samna, now I will have to do something about the benefits of your life.","شوہر لوگ سوہ سیگٹ, آجیٹی کے سامنے اپنے دب دلوہ پھر سے کائم کرنے کی چلناتی.",शिवहर लोग सवा सीट आर्ज़ीटी की साम ने अपना दब दवा फिर से कायम करने की चुनाती,शिवहर लोग सबा सीट अर्जेटी के सामने अपना दब दबा फिर से कायम करने की चुनावती,"शिवहर लोक्सवा सीट, RGT के सामने अपना दब दबा फिर से कायम करने की चुनोती",शिवहर लोकसभा सीट: आरजेडी के सामने अपना दबदबा फिर से कायम करने की चुनौती
0,test_audio/hi/clips/common_voice_hi_26010679.mp3,Dova yana ki nirachi kutke abbaran ki sajash,دو بھی جانے کے لیرچی خود کے اپران کی ساجش,दूवाई जाने के लिए रची कुदके अपरन्की साजच्श,दुबै जाने के लिए रची खुदके अपरण की साज़िश।,"दुबै जाने के लिए रची, खुद के अपरन की साजिश",दुबई जाने के लिए रची खुद के अपहरण की साजिश
0,test_audio/hi/clips/common_voice_hi_26010681.mp3,Me<|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|><|hi|>,میں اس کے سرکچھت لڑنے کے لی بے چان ہوں,मैं उसके स्वरक्षिप लड्ने के लिए बेच्यान हो।,मैं उसके सुरक्छिप लोटने के लिए बेचान हूं।,मैं उसके सुरक्छित लौटने के लिए बेच्छान हुई।,मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।
0,test_audio/hi/clips/common_voice_hi_26010684.mp3,"Bharat Chien ke rachsham andriokhi, dedication, bachi ishuru, doklan devath ke Bharat, pehli bed hak.",12. ھکچھے رکھ چھیں گے رکھ چھے چھیں گے۔ 12. ھکچھے چھیں گے۔ 12. ھکچھے چھیں گے۔ 12. ھکچھے چھیں گے۔ 12. ھکچھے چھیں گے۔,"बारक्चीन के रक्षामंत्रियों की देलिकेशन बाची शुरू, दोक्लाम भेवाद के बाद पहली बेद्ख.","भारत चीन के रक्षा मंत्रियों की डेलिगेशन बाची शुरू, दोकलाम भिवात के बाद पहली बैधक।",भारत चीन के रक्षा मंत्रियों की डेलिगेशन बाचीश शुरू दोक्लां बिवात के बात पहली बैठक,"भारत-चीन के रक्षामंत्रियों की डेलिगेशन बातचीत शुरू, डोकलाम विवाद के बाद पहली बैठक"
0,test_audio/hi/clips/common_voice_hi_26010699.mp3,"Meera Bhai must say, nafrat karta hai.",میرا بھائی مجھ سے نفرد کرتا ہے,मेरा बाई मुज्से नफ्रत करता है,मेरा भाई मुझ से नफरत करता हैं,मेरा भाई मुझ से नफ्रत करता है।,मेरा भाई मुझ से नफ़रत करता है।
0,test_audio/hi/clips/common_voice_hi_26010700.mp3,now he is in red.,Abhi se rath ho gayi hai.,अबी से राथ हो गई है,अभी से रात हो गई है।,अभी से रात हो गई है।,अभी से रात हो गई है।
0,test_audio/hi/clips/common_voice_hi_26010701.mp3,We are going to start our journey after we reach Bite Huaykal Par.,We are on the way to the beach.,हमे भीते हुए कल पर पष्टावा करने की आदत है,हमें भीते हुए कल पर पस्तावा करने की आदत है।,हमें बीते हुए कल पर पच्तावा करने की आदत है।,हमें बीते हुए कल पर पछतावा करने की आदत है।
0,test_audio/hi/clips/common_voice_hi_26010702.mp3,"Shulne does soh hadyaar in this lock, Arab.",شون نی دس سو حجار دس لق عرب,ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ ॐ,0 10 100 1000 10 lakh अरव,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0","शून्य, दस, सौ, हज़ार, दस लाख, अरब।"
0,test_audio/hi/clips/common_voice_hi_26010703.mp3,"Me Tomki Madhkarne ki, poshe shkarra haong.","मैं,ต้อง کی مدد کرنے کی,hoشش کر رہاں.",मैं तोम की मदद करने की उषिष कर रहा हूं,मैं टोम की मदत करने की पूषिश कर रहा हूं।,मैं टॉम की मदद करने की पोशिष कर रहा हूं।,मैं टॉम की मदद करने की कोशिश कर रहा हूँ।
0,test_audio/hi/clips/common_voice_hi_26010851.mp3,Abni kya deva India,حفنے کیا جبام دیا,आपने क्या जबाब दिया?,आपने क्या जवाब दिया?,आप ने क्या जवाब दिया?,आप ने क्या जवाब दिया?
0,test_audio/hi/clips/common_voice_hi_26010852.mp3,"Badlab kavi, hasaan nahi huta.",بضلاب کبھی آسان نہیں ہوتا.,बड़ाब कवी आसान नहीं होता,बदलाब कभी आसान नहीं होता,बद्लाव कभी आसान नहीं होता,बदलाव कभी आसान नहीं होता।
0,test_audio/hi/clips/common_voice_hi_26010853.mp3,Delhi ka Full Radio Banner. Mushki ko.,دلیکہ پول راجبنا مشکل کیوں,दिरली का पुन राज बनना मश्किल क्यों,दिल्ली का पून राज बनना मुश्किल क्यों?,दिल्ली का पून्राज बनना मुश्किल क्यों?,दिल्ली का पूर्णराज्य बनना मुश्किल क्यों?
0,test_audio/hi/clips/common_voice_hi_26010854.mp3,"So, you may not like it but it will be fun.",تو میں لگر پڑنا ہوگا,तो में मल लगागर पडना होगा,तुम्हें मल्लागागर पढ़ना होगा।,तुमें मल लगाकर पड़ना होगा,तुम्हें मन लगाकर पढ़ना होगा।
0,test_audio/hi/clips/common_voice_hi_26010855.mp3,"Me, 합ni nani sehafte me, dovar mille jata hun.",2 varmi lejata.,मैं अपनी नानी से हबते में डो भार मिलने जाता हूँ,मैं अपनी नानी से हफते में दो बार मिलने जाता हूं,मैं अपनी नानी से हफ्ते में दो बार मिलने जाता हूं।,मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।
0,test_audio/hi/clips/common_voice_hi_26021805.mp3,this mark would turn the mark say search in our hover,اسmaat ko tanne di mags e sotna hoga,इस बाद को तन्ध दिमाग से सुचना होगा,इस बात को तंडे दिमाग से सोचना होगा।,इस बात को थंदे दिमाग से सोचना होगा,इस बात को ठंडे दिमाग़ से सोचना होगा।
0,test_audio/hi/clips/common_voice_hi_26021806.mp3,An paraasti bhiapar Madhood Karkhbevastakini avashakhe.,انتراستی بیا پار مجھوڑ ارتبستا کے نی اوش شکھیں,अंतरास्ट्ये ब्यापार मज्वूद अर्थ ब्यवस्ताके ने आवश्ख है,अंतरास्टिय भ्यापार मज्बूद अर्थ व्यवस्था के लिए आवशक हैं।,अन्तरास्ट्य व्यापार मज्बूत अर्थ प्यवस्ता के लिए आवश्षक है,अंतर्राष्ट्रीय व्यापार मज़बूत अर्थव्यवस्था के लिए आवश्यक है।
0,test_audio/hi/clips/common_voice_hi_26021807.mp3,"Ajmeen Blast, Indreshni, Arokoku, Mevaniyaar Bataya.","اجمیر بلاست, Indraishne, Aropo ko Begoniaat batayah.",आजमेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अज्मेर ब्लास्ट अ�,अजमेर ब्लास्ट। इंद्रेश ने आरोकों को बेवुनियात बताया।,अजमेर ब्लास्ट । इंद्रेश ने आरोकों को बेवनियात बताया,अजमेर ब्लास्ट: इंद्रेश ने आरोपों को बेबुनियाद बताया
0,test_audio/hi/clips/common_voice_hi_26021808.mp3,Holey Par Khoomastikiji Par Jara Bhang.,Holi Par Khob Masthi Ki Jeet Par Jara Bhang Se Bajke,अड़ा बाँँ पर खुब मस्तिकी जी पर जरा बाँँँ से बच्चके,होली पर खूब मस्ति कीजिये पर ज़रा भांग से बचके,होली पर कूब मस्ति कीजिये पर जरा भांग से बच्के,"होली पर खूब मस्ती कीजिए, पर जरा भांग से बचके..."
0,test_audio/hi/clips/common_voice_hi_26021809.mp3,Tom ne ne le kapepeh natu,Tom نے Neili Kapoorai Pahnathi,तोम ने नीले कबडे पहने थे,टोम ने नीले कपड़े पहने थे।,टॉम ने नीले कप्डे पहने थें,टॉम ने नीले कपड़े पहने थे।
0,test_audio/hi/clips/common_voice_hi_26021815.mp3,"On denome, Safar Karna was a lot mistake.",ان دنوں میں Safar Karna very difficult to do.,उन दिनो में सफर करना बहुत मुष्किध हुए करता था,उन दिनों में सफर करना बहुत मुश्केट हुआ करता था।,उन दिनों में सफर करना बहुत मुश्किद हुआ करता था,उन दिनों में सफ़र करना बहुत मुश्किल हुआ करता था।
0,test_audio/hi/clips/common_voice_hi_26021816.mp3,Kanu no ka palan karna Maho jaduri hai,Kaanonu ka palan karna maho jharuri hai.,कानुनो का पालन करना महोग जरूरी है,कानुनों का पालन करना महुद ज़ूरी हैं,कानोनों का पालन करना महुत जरूरी है,क़ानूनों का पालन करना बहुत ज़रूरी है।
0,test_audio/hi/clips/common_voice_hi_26021817.mp3,Bejali Bill Murder par arvent kjreeval karemi Anshan,بجلی بھیل مددے پر ہر بن دکے جریوال کریں گی انشان,बिजली बिल मुद्दे पर अर्वेंद केज्री वाल करे में अन्शन,बिजली विल मुद्धे पर अर्विंद केज़िवाल करेंगे अन्शन।,बिजली बिल मुद्दे पर अर्विन्द के ज्रिवाल करेंगे अन्शन,बिजली बिल मुद्दे पर अरविंद केजरीवाल करेंगे अनशन
0,test_audio/hi/clips/common_voice_hi_26021818.mp3,Bajo ki dekval Achitra sekiyati ti.,بچو کی دیکھوال اچھی ترے سے کی جاتی تھی,बच्चों की देख्वाल अच्छी तरहे से की जाती ती,बच्चों की देखवाल अच्छी तरह से की जाती थी।,बच्चों की देख्वाल अच्छी तरह से की जाती थी,बच्चों की देखभाल अच्छी तरह से की जाती थी।
0,test_audio/hi/clips/common_voice_hi_26021819.mp3,Frikki ka jannu ver,Frikki Kajanubar,फ्रिक्की का जानूवर,फिर की का जादूबर।,फिर की का जाडूगर?,फिरकी का जादूगर
0,test_audio/hi/clips/common_voice_hi_26021825.mp3,Ajmal ka sab par bada bar se chalee ga mukad no.,اجمل کا ساب پر بضبار سے چلے گا مقادمان,आजमल का साप पर बदवार से चलेगा मुकद्मा,अजमल कसाब पर बुद्दवार से चलेगा मुकदमा,अज्मल कसाब पर बुद्बार से चलेगा मुकद्मा,अजमल कसाब पर बुधवार से चलेगा मुकदमा
